urn:lsid:ipni.org:names:77126679-1	urn:kew.org:sanbi:LSP:tab1fam:ref:186	Mackinder: 51 (1990).	Mackinder	1990
urn:lsid:ipni.org:names:50973840-1	urn:kew.org:sanbi:LSP:tab1fam:ref:188	Smith et al.: 1 (1998).	Smith et al.	1998
urn:lsid:ipni.org:names:77126662-1	urn:kew.org:sanbi:LSP:tab1fam:ref:190	Eliasson: 5 (1996).	Eliasson	1996
urn:lsid:ipni.org:names:30006233-2	urn:kew.org:sanbi:LSP:tab1fam:ref:192	Phillipson: 426 (1993).	Phillipson	1993
urn:lsid:ipni.org:names:77126655-1	urn:kew.org:sanbi:LSP:tab1fam:ref:194	Mendes: 54 (1978).	Mendes	1978
urn:lsid:ipni.org:names:30000043-2	urn:kew.org:sanbi:LSP:tab1fam:ref:196	Rohwer: 438 (1993).	Rohwer	1993
urn:lsid:ipni.org:names:77126633-1	urn:kew.org:sanbi:LSP:tab1fam:ref:198	Verdcourt: 1 (1986).	Verdcourt	1986
urn:lsid:ipni.org:names:77126721-1	urn:kew.org:sanbi:LSP:tab1fam:ref:202	Mabberley: 473 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:77126649-1	urn:kew.org:sanbi:LSP:tab1fam:ref:204	Mabberley: 475 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:30000100-2	urn:kew.org:sanbi:LSP:tab1fam:ref:206	Halliday: 1 (1984).	Halliday	1984
urn:lsid:ipni.org:names:30000056-2	urn:kew.org:sanbi:LSP:tab1fam:ref:208	George: 1 (1988).	George	1988
urn:lsid:ipni.org:names:77126635-1	urn:kew.org:sanbi:LSP:tab1fam:ref:210	Mabberley: 488 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:30000256-2	urn:kew.org:sanbi:LSP:tab1fam:ref:212	Mabberley: 494 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:77126577-1	urn:kew.org:sanbi:LSP:tab1fam:ref:214	Thulin: 22 (1993).	Thulin	1993
urn:lsid:ipni.org:names:30000075-2	urn:kew.org:sanbi:LSP:tab1fam:ref:216	Du Toit & Obermeyer: 1 (1976).	Du Toit & Obermeyer	1976
urn:lsid:ipni.org:names:30002502-2	urn:kew.org:sanbi:LSP:tab1fam:ref:218	Sleumer: 22 (1935).	Sleumer	1935
urn:lsid:ipni.org:names:30001336-2	urn:kew.org:sanbi:LSP:tab1fam:ref:220	Verdoorn: 100 (1963).	Verdoorn	1963
urn:lsid:ipni.org:names:50605759-1	urn:kew.org:sanbi:LSP:tab1fam:ref:222	Dahlgren & Van Wyk: 40 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:30000053-2	urn:kew.org:sanbi:LSP:tab1fam:ref:224	Goldblatt & Raven: 149 (1997).	Goldblatt & Raven	1997
urn:lsid:ipni.org:names:77126619-1	urn:kew.org:sanbi:LSP:tab1fam:ref:226	Hiepko: 161 (1982).	Hiepko	1982
urn:lsid:ipni.org:names:77126611-1	urn:kew.org:sanbi:LSP:tab1fam:ref:228	Thulin & Moggi: 193 (1993).	Thulin & Moggi	1993
urn:lsid:ipni.org:names:30000446-2	urn:kew.org:sanbi:LSP:tab1fam:ref:230	Kadereit: 494 (1993).	Kadereit	1993
urn:lsid:ipni.org:names:30003386-2	urn:kew.org:sanbi:LSP:tab1fam:ref:232	De Wilde: 104 (1976).	De Wilde	1976
urn:lsid:ipni.org:names:77126681-1	urn:kew.org:sanbi:LSP:tab1fam:ref:234	Mabberley: 1 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:77126705-1	urn:kew.org:sanbi:LSP:tab1fam:ref:236	Dahlgren & Van Wyk: 43 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:77126685-1	urn:kew.org:sanbi:LSP:tab1fam:ref:238	Rohwer: 506 (1993).	Rohwer	1993
urn:lsid:ipni.org:names:30000155-2	urn:kew.org:sanbi:LSP:tab1fam:ref:240	Diniz: 24 (1997).	Diniz	1997
urn:lsid:ipni.org:names:30302583-2	urn:kew.org:sanbi:LSP:tab1fam:ref:242	Mabberley: 562 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:30001136-2	urn:kew.org:sanbi:LSP:tab1fam:ref:244	Glen: 151 (1998).	Glen	1998
urn:lsid:ipni.org:names:30000293-2	urn:kew.org:sanbi:LSP:tab1fam:ref:246	Kubitzki: 523 (1993).	Kubitzki	1993
urn:lsid:ipni.org:names:77126691-1	urn:kew.org:sanbi:LSP:tab1fam:ref:248	Cusset: 1 (1997).	Cusset	1997
urn:lsid:ipni.org:names:30000688-2	urn:kew.org:sanbi:LSP:tab1fam:ref:250	Paiva: 117 (1998).	Paiva	1998
